Item,Confidence
a. Beverage - Soda,0.6810883140053524
Food - Healthy,0.6664343786295006
Food - Chips,0.5537466547725245
a. Beverage Sparkling Water,0.5502322880371662
Kitchen Supplies,0.5267618198037467
Food - Chocolate,0.40754936120789775
Beverage - Energy/Protein,0.39059233449477354
Food - Sweets,0.3420680157606825
Beverage - Gatorade,0.3175735950044603
Beverage Water,0.3113291703835861
Coffee Sweetener,0.2651650312221231
Beverage - Juice,0.2369075398798822
Beverage - Iced Tea,0.23684210526315788
Coffee K-Cups,0.2326048171275647
Dishware - Cups Hot,0.20731707317073172
Food - Nuts,0.20611300256302362
Coffee Cream,0.20464576074332175
Dishware - Plates,0.20412311265969804
Food - Snacks,0.1743321718931475
Dishware - Cups Cold,0.10730270456371219
