store_region,item_name,fact_total_price
BARISAL,Red Bull 12oz,95205.0
BARISAL,K Cups Original Donut Shop Med. Roast,86231.0
BARISAL,K Cups Daily Chef Columbian Supremo,83952.0
BARISAL,K Cups Dunkin Donuts Medium Roast,83376.0
BARISAL,K Cups Folgers Lively Columbian,76590.0
CHITTAGONG,Red Bull 12oz,246510.0
CHITTAGONG,K Cups Daily Chef Columbian Supremo,235479.0
CHITTAGONG,K Cups Original Donut Shop Med. Roast,227370.0
CHITTAGONG,Muscle Milk Protein Shake Van. 11oz,202870.0
CHITTAGONG,K Cups Dunkin Donuts Medium Roast,201696.0
DHAKA,Red Bull 12oz,510895.0
DHAKA,K Cups Daily Chef Columbian Supremo,474403.0
DHAKA,K Cups Original Donut Shop Med. Roast,470958.0
DHAKA,K Cups Dunkin Donuts Medium Roast,429168.0
DHAKA,K Cups Folgers Lively Columbian,414092.0
KHULNA,Red Bull 12oz,139645.0
KHULNA,K Cups Daily Chef Columbian Supremo,137906.0
KHULNA,K Cups Original Donut Shop Med. Roast,130327.0
KHULNA,K Cups Dunkin Donuts Medium Roast,119040.0
KHULNA,Muscle Milk Protein Shake Van. 11oz,117862.0
RAJSHAHI,Red Bull 12oz,148885.0
RAJSHAHI,K Cups Daily Chef Columbian Supremo,142623.0
RAJSHAHI,K Cups Original Donut Shop Med. Roast,128260.0
RAJSHAHI,K Cups Dunkin Donuts Medium Roast,125184.0
RAJSHAHI,K Cups Folgers Lively Columbian,122912.0
RANGPUR,K Cups Daily Chef Columbian Supremo,101866.0
RANGPUR,Red Bull 12oz,100430.0
RANGPUR,K Cups Dunkin Donuts Medium Roast,93120.0
RANGPUR,K Cups Original Donut Shop Med. Roast,88669.0
RANGPUR,K Cups  Starbuck's Pike Place,87208.0
SYLHET,K Cups Daily Chef Columbian Supremo,69165.0
SYLHET,Red Bull 12oz,64130.0
SYLHET,Honey Packets  ,58455.0
SYLHET,K Cups Dunkin Donuts Medium Roast,58176.0
SYLHET,K Cups Original Donut Shop Med. Roast,57028.0
